country,infected,deaths,recovered,death_percent,recovered_percent
New Caledonia,134,0,58,0.0,43.3
Greenland,119,0,78,0.0,65.5
Anguilla,113,0,111,0.0,98.2
Macao,59,0,54,0.0,91.5
Montserrat,21,1,19,4.8,90.5
Solomon Islands,20,0,20,0.0,100.0
Western Sahara,10,1,8,10.0,80.0
Marshall Islands,4,0,4,0.0,100.0
Vanuatu,4,1,3,25.0,75.0
Samoa,3,0,3,0.0,100.0
Micronesia,1,0,1,0.0,100.0
